Question,Answer
How to unpin?,"→ Open the Employee.
→ Click the Pinned icon.
→It will unpin and return to normal view.
Outline Pin (empty icon) → That list view is Unpinned."
What is Import?,"It is a Salesforce toll used to import data from CSV files. It supports up to 50,000 records at a time."
What is Data Import Wizard?,"Data Import Wizard in Salesforce is a tool used to import bulk data into standard and custom objects.It helps to insert, update records easily using a CSV file without coding."
How to import Employees using Data Import Wizard?,"→ Go to Import 
→ Click on Employee arrow.
→ Select one of them which we want Add new records,Update existing records,Add new and update existing records.
→ Click on CSV file.
                        (or)
→ Go to Settings
→ Select Setup.
→ Search for Data Import Wizard.
→ Select Data Import Wizard.
→ Select one of them which we want Add new records,Update existing records,Add new and update existing records.
→ Click on CSV file."
How many records can import at once?,"Up to 50,000 records per import.For more,Data Loader is used."
What is the first step before importing data?,"Prepare the data file for import..Ensure it is clean,accurate and duplicate free."
What file format does Data Import Wizard support?,It supports CSV files.Excel files must be saved as CSV.
How to fix import errors?,Correct CSV data and re-import failed records.Common issues include missing fields.
Can you import data into Custom Objects?,"Yes,Data Import supports custom objects.The object must be enabled for import."
Where can you check import status?,"In the Data Import Wizard status screen.
→You can see success and failure counts."
What happens if a required field is missing during import?,The record fails to import Salesforce shows an error message.
How to change the Owner of this Employee record?,"→ Open the Employee 
→ First we can select the checklist of employee which we want to Assign the label
→ Click the Change Owner Button on top right corner.
→ It displys the Search bar for select the new owner.
→ Click Submit."
What is does Add new records mean?,It creates new records in Salesforce.Existing records are not affected.
What does Update existing records mean?,It updates records already present in Salesforce.
What is Add new and update existing records?,It inserts new records and updates matching ones.Used when CSV has mixed data.
What does “Change Owner” used?,It transfers record ownership to another user.Useful when responsibilities change.
How to check who is the Owner of the Employee record?,"→ Open the employee record record by clicking on the user name.
→ Check the Owner field to see the assigned user name."
What is Data Loader?,Data Loader is a client tool for large data imports.It supports up to millions of records.
How to load the data through the Data Loader?,"→ Go to the Settings.
→ Click on the Setup.
→ Search for Data Loader.
→ Select the Data Loader.
→ We can Any one option (Downloads,User Guide)
→ If we click on any option we get pop Confirm redirect we have to select the Confirm Button.
→ We redirect to the another Data website."
What is the purpose of Assign Label?,It helps categorize employee records.Labels make searching and filtering easier.
How use the Assign Label?,"→ Open the Employee
→ Click the downarrow which is in the employees name.
→ Click on the Edit.
→ It displays one form fields(Employee Name,Role,Email,Contact,Access Level)
→ In the Access Level click dropdown 
→ We can select one label in the list(Read-only,Standard,Admin).
→ Click Save
"
How do you edit an existing Employee record?,"→ Open the employee record record by clicking on the user name.
→ Click Edit .
→ Update fields.
→ Click Save"
How work the employee setting button?,"It is used for List view Control
→ Click on the Setting button in the employee page.
→ It show dropdown list New,clone,Rename,Sharing Settings,Select fields to displat,Delete,Reset Column Sorting,Reset Column Width."
How to create new list view?,"→ In the Employee page
→ Click on the Setting button in the employee page
→ Select New from the dropdown list.
→ Then We fill the required fields the form selects the Who sees this list view.
→ Click Save."
What happens when you refresh the list view in Employee?,"→ In Employee page
→ Click the refresh icon.
→ Salesforce re-fetches the latest data from the database."
What is the Select List Display?,"Select List Display is used to choose which fields (columns) are shown in a list view for records.(Table,kanban,split view)."
What is the Column Sort?,Column sort means arranging employee records in ascending or descending order by clicking on a column header like Name or Date.
How to use the Column Sort?,"→ Open the Employee Object.
→ Go to the Employee List view.
→ Tap on the column header (like Name or Date)
→ Click once to sort in Ascending order (A–Z).
→ Click again to sort in Descending order (Z–A)."
What is Edit List?,Edit List allows you to quickly update multiple records directly from the list view without opening each record individually.
How to use Edit List?,"→ Open the Employee Page.
→ Select a List View (like All Employee).
→ Tap the Edit (pencil) icon near a field in the list.
→ Modify the required field value.
→ Tap Save to update the record."
What is the use of filters in list views?,Filters control which records are displayed.They help focus on specific employee data.
How do you delete an Employee record?,"→  Open the Employee Page.
→ Select the Employee by clicking the employee name.
→ Click on the dropdown arrow at the top right.
→ Select Delete from the list.
→ We get the pop message  for confirm.
→ Click Delete."
How to edit the Employee Details?,"→ Open the Employee Page.
→ Click on the Employee Name.
→ Click the Edit button in the employee detail page.
→ Then modify the data
→ Click Save."
What is New Case?,New Case is a button used to create a new support/service request related to that employee record.
How to create a New Case from this Employee page?,"→ Open the Employee Page.
→ Select the Employee by clicking the employee name.
→ Click on the dropdown arrow at the top right.
→ Select New Case from the list.
→ fill the fields required.
→ Click Save"
What is New Contact?,New Contact is a button used to create and link a new contact person to that employee’s related account or record.
How to create New Contact?,"→ Open the Employee Page.
→ Click on the Employee Name.
→ Click the New Contact button in the employee detail page.
→ Then  fill the required fields.
→ Click Save."
What is new Lead?,"New Lead is a button used to create a new potential customer record.
It helps employees add details of a person or company who may become a future customer."
How to create the New Lead?,"→Open the Employee Page
→ Select the Employee by clicking the employee name.
→ Click on the dropdown arrow at the top right.
→ Select the New Lead.
→ Fill the required fields.
→ Click Save."
What is New Opportunity?,New Opportunity is a button used to create a new sales deal related to that employee (if the employee is connected to sales activities).
How to create New Opportunity?,"→ Open the Employee Page.
→ Click on the Employee Name.
→ Click the New Opportunity button in the employee detail page.
→ Then  fill the required fields.
→ Click Save."
How to clone?,"→ Open the Employee Page.
→ Select the Employee by clicking the employee name.
→ Click on the dropdown arrow at the top right.
→ Select Clone from the list.
→ Modify the required fields.
→ Click Save"
What is Clone?,Clone is a button that creates a duplicate copy of an existing Employee record.
What information is displayed in the Employee Details section?,It copies all the details from the current employee so you can quickly create a similar record without entering data again.
What is Printable View?,"Printable View allows you to see the employee record in a clean, print-friendly format without buttons, tabs, or extra menus.It is used when you want to print or save the employee details as a PDF."
How to see the Printable View?,"→ Open the Employee Page.
→ Select the Employee by clicking the employee name.
→ Click on the dropdown arrow at the top right.
→ Select Clone from the list.
→ Modify the required fields.
→ Click Save"
What is Sharing?,"Sharing on an Employee record means giving other users access to view, edit, or manage that specific employee record.It is used when you want to allow certain users to access that employee record without changing overall organization settings."
How to use the Sharing?,"→ Open the Employee Page.
→ Select the Employee by clicking the employee name.
→ Click on the dropdown arrow at the top right.
→ Select Sharing from the list.
→ Click Add.
→ Choose the User / Role / Group.
→ Select access level:Read Only,Read/Write 
→ Click Save."
What is Sharing Hierarchy?,"Sharing Hierarchy in Salesforce allows higher-level users in the role hierarchy to automatically view, edit, and access employee records owned by users below them."
How to use the Sharing Hierarchy?,"→ Open the Employee Page.
→ Select the Employee by clicking the employee name.
→ Click on the dropdown arrow at the top right.
→ Select Sharing Hierarchy from the list.
→ It shows All users details.
"
How many appointment records are visible in the list?,There are 5 appointment records visible.
What are the names of the appointments listed?,Email Confirmation
What actions can be performed from this list view?,"Create a New appointment,Import records,Change Owner,Assign Label"
What does the “Recently Viewed” list view show?,It shows appointment records that were recently accessed or modified by the user.
What does the search box labeled “Search this list…” do?,"A. It filters the records within the current list view only, not across the entire object"
When is your appointment?,My appointment is on [Date] at [Time]
Can I reschedule the appointment?,"Yes, you can reschedule using [phone / email / online portal]."
What is the next step after the appointment?,"ou will receive reports, follow-up details, or the next appointment via [email / app notification]."
What is the fee for the appointment?,"the appointment fee is [Amount], and online payment may be available"
How do I confirm my appointment?,"You can confirm via phone call, SMS, or email."
Create Customer Appointment,"→ Click the App Launcher (9 dots).
 → Search and open Contacts (or Leads/Accounts).
 → Click on the Customer Name you want to schedule the appointment for."
How to Set Appointment Date,"Go to Customer Record (Contact/Lead/Account).
 →Click Activity tab.
 →Click New Event.
 →click on Details
 →In Start Date & Time, select the appointment date.
 →Set the End Date & Time.
 → Click Save."
Set Appointment Time,"→Open the Customer Record (Contact/Lead/Account).
 →Click the Activity tab.
 →click on Details
 →Click New Event.
 →Select the Start Date.
 →Set the Start Time (example: 10:00 AM).
 →Set the End Time (example: 11:00 AM).
 →Click Save"
Create Appointment from Calendar,"→ Click the App Launcher (9 dots)
 → Open Calendar
 → Click on a date/time slot
 → Enter details
 → Save"
how to Edit from Calendar,"→Open App Launcher (9 dots).
 →Click Calendar.
 →Click on the appointment.
 →Click Edit.
 →Update details.
 →Click Save."
How to Assign a Service Resource to an Appointment,"Open App Launcher (9 dots)
 → Click Service Console
 → Open the Appointment
 → Click Edit
 → Find Service Resource field
 → Select the resource name
 → Click Save"
How to Cancel an Appointment,"Open App Launcher (9 dots)
 → Go to Service Console
 → Click Appointments
 → Open the appointment record
 → Click Edit
 → Change Status to Canceled
 → Click Save"
how to Edit from Event List View,"→Go to App Launcher.
 →Search and open Events.
 →Select a List View (e.g., My Events).
 →Click the appointment name.
 →Click Edit.
 →Save changes."
How to Edit appointment name,"→ GO to Appointment
 →click on Edit list icon
 →change name 
 →Enter"
What is Sap Sales Orders in this application?,"It is a custom Salesforce object that represents a Sales Order coming from SAP, acting as the parent record."
Why is Sap Sales Orders a custom object and not standard Order?,"Because SAP has custom fields, structure, and business logic that don’t fully match Salesforce’s standard Order object."
What does the Recently Viewed list show?,It displays the last accessed Sap Sales Order records for the logged-in user.
What does “6 items · Updated 6 minutes ago” mean?,"There are 6 records in the current list view, and one or more were modified recently."
What is the primary column shown in the list view?,Sap Name → this is the Name field of the object and acts as the main identifier.
Why is Sap Name clickable?,Clicking it opens the record detail page of that Sales Order.
What is the purpose of checkboxes in the list view?,"They enable bulk operations like change owner, assign label, or delete."
What does the dropdown arrow at the end of each row do?,"It provides row-level actions such as:
 >Edit
 >Delete
 >Change Owner
 >Edit Labels"
What is the Search this list… field used for?,"It filters records only within the current list view, not the entire object."
What happens when you click the gear icon?,"It opens list view settings, including:
 >Select Fields to Display
 >Reset Column Sorting
 >Reset Column Widths"
What does Table / Kanban / Split View mean?,"Table → Standard row-based view
 Kanban → Status-based visual view (if enabled)
 Split View → List on left, record preview on right"
Why is Kanban disabled here?,Because no status/picklist field is configured for Kanban grouping.
What does Wrap Text / Clip Text do?,"Wrap Text → Shows full field content
Clip Text → Truncates long values"
What is the purpose of Assign Label?,It allows users to tag records for organization and filtering.
What does Change Owner do?,It transfers record ownership to another user or queue.
Why does clicking New open a popup modal?,Salesforce Lightning uses modal-based record creation for faster UX.
What does the red asterisk (*) indicate?,The field is mandatory and must be filled before saving.
What is Sap Name?,It is the unique name/identifier for the SAP Sales Order in Salesforce.
What is Sales Order Number?,It stores the actual SAP Sales Order ID from the SAP system.
What does the Created on field represent?,"It captures the date the order was created in SAP, not Salesforce."
Why is Owner auto-filled?,Salesforce automatically assigns the logged-in user as the owner.
What is Total Net Amount?,It represents the sum of all related item Net Amounts.
Why is Currency stored separately?,"Because SAP orders can exist in multiple currencies (INR, USD, EUR)."
What are Payment Terms?,"They define when and how payment is expected (e.g., Net 30)."
What are Incoterms?,"They specify shipping and delivery responsibilities (FOB, CIF, EXW)."
What is Purchase Order?,It stores the customer’s PO reference number.
What does Sales Organization mean?,It represents the SAP sales unit responsible for the order.
What is Distribution Channel?,"It defines how the product reaches the customer (Retail, Online, Wholesale)."
What is Division?,It categorizes the order by product line or business unit.
What does Sold To Party represent?,It identifies the customer placing the order in SAP.
What is Location?,It indicates the delivery or business location for the order.
What is SAP_Sales_Order_Items?,It is a child object that stores individual line items for a Sales Order.
How is SAP_Sales_Order_Items related to Sap Sales Orders?,Through a Lookup or Master-Detail relationship field.
Why do we need a separate Item object?,"Because one Sales Order can contain multiple products, quantities, and prices."
Why is Total Net Amount usually not entered manually by users?,"Because it is a calculated field, derived from the sum of Net Amount values from all related SAP_Sales_Order_Items. This avoids manual errors and keeps SAP and Salesforce data consistent."
What kind of automation can be applied when a Sap Sales Order is created?,"Common automations include:
→ Record-Triggered Flow to auto-populate fields (Currency, Sales Org)
→ Validation Rules to enforce mandatory SAP fields
→ Flow/Apex to create related Sales Order Items
→ Integration Flow to sync status updates from SAP"
What is the purpose of the SAP_Sales_Order_Items object in Salesforce?,"The SAP_Sales_Order_Items object is used to store and manage individual line items associated with SAP sales orders.
Each record in this object represents a specific product or item that belongs to a larger sales order."
How do I create a new SAP Sales Order Item record?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ On the top-right corner, click the NEW button.
→ Fill all Required Fields and information 
→ Click SAVE
     A new SAP Sales Order Item record is created and added to the list view"
How can I search for a specific Order Item record?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ Use the SEARCH THIS LIST search box and Enter  Item Name or Any searchable field value
→ Press Enter
     The list dynamically filters and displays matching records"
What happens if required fields are missing during record creation?,"If mandatory fields are not filled:
→ Salesforce displays validation errors
→ The record is not saved
→ The missing fields are highlighted
→ This ensures data integrity"
How can I change the list view in SAP_Sales_Order_Items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ At the top left, you will see the current list view name , Click the dropdown arrow
→ Select another list view such as:
→ All Records
→ My Records
→ Custom List View
The list refreshes based on the selected filter criteria"
Why can't some records be deleted?,"Records may not be deletable due to security, relationship, or automation constraints. Common reasons include missing Delete permission, record locks from approval processes, existing related records in master-detail relationships, automation logic (Apex or Flow), or object-level restrictions. Identifying the exact cause requires checking permissions, relationships, and automation rules."
How can you customize the columns in the List View?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ At the top left, you will see the List View Controls (setting icon)  Click on it.
→ Select Fields to Display.
→ You will see two sections:
          → Available Fields (left side)
          → Visible Fields (right side)
→ To Add a column: Select field from Available Fields Click ""→"" (Add arrow)
→  To Remove a column: Select field from Visible Fields Click ""←"" (Remove arrow)
→ Move fields between Available and Visible columns.
→ Click Save"
How do I clone a sales order item?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ Click on the specific record you want to clone.  A order item detail page will open 
→ on the top right  corner Click dropdown  (▼) beside NEW OPPURTUNITY option 
→ Select Clone
→ Update fields if required:
         Quantity
         Price
         Delivery Date
         Status
         Sales Order reference (if needed)
→ Save."
How can I view only my records in sales order items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ At the top left, you will see the current list view name , Click the dropdown arrow
→ Select “My Records”
      Now you will see only  your records :
"
How do I create a new list view in SAP_sales_ order items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu.
→ On the top right corner  Click LIST VIEW CONTROL (setting icon) beside the search bar.  
→ Select  NEW from the drop down menu
→ Enter List View Details
            List Name → Example: High Value Order Items
            API Name → Auto-filled (do not change unless required)
→ Choose who can see this list view :
            Only Me
            All Users
            Share list view with specific groups
   
→ click SAVE."
"How can you share a Sales Order list view with your team?
","→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu.
→ On the top right corner  Click LIST VIEW CONTROL (setting icon) beside the search bar.  
→ Select  SHARING SETTINGS from the drop down menuChoose:
→ All Users OR Specific Roles / Groups
→ Click SAVE"
How do I rename a List View SAP_sales_ order items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu.
→ On the top right corner  Click LIST VIEW CONTROL (setting icon) beside the search bar.  
→ Select  RENAME from the drop down menu
→ Enter NEW NAME.
→ Click SAVE."
How can I import multiple SAP Sales Order Items at once?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ On the top-right corner, Click on Import
→ It will navigate to you a setup page
→ On the right side you will find a custom objects, → in that click SAP_Sales_Order_Items
→ Select new record or existing record
→ Prepare and Upload the CSV File
→ Click Next
→ Review Import Settings
→ Start the Import Process
→ Monitor Import Status"
How can I delete an SAP Sales Order Item?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ Select the record you want to delete
→ Click the dropdown arrow next to the record.
→ Select Delete
→ Confirm the deletion
     The record is removed from the object and moved to the Recycle Bin (if enabled)"
How do I Asign a Label  for records in SAP_Sales_Order_Items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ Select Record by using check box beside name of record.
→ On the top-right corner, Click on Assign Label
→ Search Label
→ Confirm Label Assignment
→ Click SAVE"
What is the “Table” view in SAP Sales Order Items?,"The “Table” view in SAP Sales Order Items displays records in a structured row-and-column format. Each row represents a sales order item, and each column represents a specific field such as Item Name, Order ID, Quantity, or Price. This view allows users to quickly scan, sort, and review multiple records in a tabular layout."
What are the steps to use Table View in SAP Sales Order Items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ On the top-right you will find a (grid icon near setting icon), Click the Display Options icon
→ Select Table
→ Records will appear in:
                Rows
               Columns
               Checkbox selection mode"
What is the Kanban view for SAP Sales Order Items?,"The Kanban View in SAP Sales Order Items presents records as visual cards grouped by a selected field, typically Status or Stage. Each column represents a value of the grouping field, and each card represents a sales order item. This view helps users track progress and manage workflow visually."
What are the steps to use Kanban View in SAP Sales Order Items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ On the top-right you will find a (grid icon near setting icon), Click the Display Options icon
→ Select Kanban
→ Ask to group by a field (if not configured), Automatically group records
→ Drag records between columns to change status"
What is the Split View in SAP Sales Order Items?,"Split View divides the screen into:
Left Panel → List of records
Right Panel → Record detail view
The Split View in SAP Sales Order Items displays a record list on the left side and the selected record’s details on the right side. This enables users to browse, compare, and update records efficiently without opening each record in a new page."
What are the steps to use Split View SAP Sales Order Items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ On the top-right you will find a (grid icon near setting icon), Click the Display Options icon
→ Select Split view
→ You will see:
       Left side: Record list
       Right side: Detailed record preview
→ Click any record → details load on right side"
How do you create a New sales deal to a customer in SAP_sales_order_items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ Go to the relevant record
→ On the top-right corner, click the “New Opportunity” button from the page header
→ Enter the Opportunity Name
→ Search the Account Name
→ Set the Close Date
→ Select the Stage
→ Enter the Amount
→ Add the Next Step (Optional)
→ Click the Save button."
How can i refresh the record in SAP_Sales_Order_Items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ On the top-right corner, near (grid icon), click the refresh icon
→ Wait for the page to reload
      Confirm the “Updated” timestamp changes."
How to Wrap Text in SAP Sales Order Items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ Once the list of records appears, look at the column header area (SAP_Sales_Order_Item Name)
→ On the right side of the column header row, click the down arrow (▼) icon or column menu icon.
→ Look for “Wrap Text” option.
→ Select Wrap Text.
      Now long text in columns will wrap into multiple lines instead of cutting off."
How to clip text in record SAP in _Sales_Order_Items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ Once the list of records appears, look at the column header area (SAP_Sales_Order_Item Name)
→ On the right side of the column header row, click the down arrow (▼) icon or column menu icon
→ Look for “Click Text” option.
→ Select Clip Text.
      That specific column will now show clipped text."
How do I edit multiple records  in SAP_Sales_Order_Items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ Select the multiple record using the checkbox to change the same kind of information to change
→ click on EDIT LIST (pen icon) at the top right corner
→ change the field 
→ Press APPLY"
How do I upload related files to a SAP Sales Order Item record?,"→ Click “More” in the navigation bar (if the tab is not directly visible).
→ Select SAP_Sales_Order_Items from the dropdown menu.
→ From the list view, click the specific SAP Sales Order Item record to which you want to upload a file.
→ On the record detail page, click the Related tab (next to the Details tab)
→ Scroll to the Files related list section.
→ Upload the File
→ Confirm that the file appears under the Files related list for the record."
Can I undo changes after  Editing the record SAP_Sales_Order_Items?,"→ If you have NOT clicked Save → refresh the page.
→ If you already clicked Save:
→ Click “More” in the navigation bar 
→ Select SAP_Sales_Order_Items from the dropdown menu.
→ click on a record it wil open the record details  
→ Review the Incorrect Field in details
→ Manually correct the value by clicking the Edit button or the pencil icon next to the field
→ click SAVE."
What to if Edit List Option Not Working SAP_Sales_Order_Items?,"→ Click “More” in the navigation bar 
→ Select SAP_Sales_Order_Items from the dropdown menu.
→ Check if you are in Recently Viewed (sometimes editing is restricted) on top left side.
→ Switch to another list view like All Records.
→ Make sure you have Edit permission.
→ Confirm the field is not a Formula or Read-Only field.
→ If still not visible → contact your Salesforce Admin."
How can i delete the record in  SAP_Sales_Order_Items.,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ Click on checkbox record name you want to delete.
→ On the right corner side of the record name, click the down arrow (▼) icon or row menu icon
→ Click Delete.
→ A confirmation popup appears.
→ Click Delete again to confirm."
How can I delete multiple records in SAP_Sales_Order_Items?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ Open a List View (Example: All Records).
→ Select multiple records using the checkboxes on the left side.
→ Click the Delete action from the dropdown menu
→ Click Delete again to confirm."
How can i Edit label the record in  SAP_Sales_Order_Items.,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ Click on the record name you want to Edit label.
→ On the right side corner of the record name, click the down arrow (▼) icon or row menu icon
→ Click Edit label.
     ---  popup appears change the Field Label.
→ Click Save.
"
How do I restore a deleted record?,"→ Click the App Launcher (grid icon) in the top-left corner of Salesforce
→ Search for and select Recycle Bin
→ Browse or search for the deleted record you want to restore
→ Check the box next to the record
→ Click the Restore button to recover the record
→ Navigate back to the object to confirm the record has been successfully restored"
How do I add a Task or Event activity to a SAP Sales Order Item record?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ From the list view, select the specific Sales Order Item record where you want to add an activity
→ On the record detail page, find the Activity section (typically on the right side or under the Activity tab)
→ Create a Task or Event
→ Enter Activity Details
→ Save the Activity
→ Confirm that the new Task or Event appears in the Activity Timeline for the record."
How do I send an email from a SAP Sales Order Item record?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ From the list view, select the specific Sales Order Item record where you want to send a email
→ On the record detail page, find the Activity section (typically on the right side or under the Activity tab)
→ In the Activity Panel, click the Email icon
→ Enter recipient
→ Add subject and message
→ Click Send to deliver the email
→ Confirm that the sent email appears in the Activity Timeline of the record."
How do I clone a SAP Sales Order Item record?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ From the list view, click the specific SAP Sales Order Item record you want to duplicate
→ On the top right corner  Click LIST VIEW CONTROL (setting icon) beside the search bar  
→ Select  CLONE from the drop down menu
→ Modify Record Details
→ Save the Record"
How do I view related SAP Sales Order Item record?,"→ Click ""More"" in the navigation tab
→ Click on SAP_Sales_Order_Items tab from the drop down menu
→ From the list view, click the specific SAP Sales Order Item record to which you want to view related files
→ On the top-left corner Click the ""Related tab"" next to Details
→ View related lists (Sales Orders, Attachments, etc.)
→ Click on any related record to open it"
Where is the Profile menu located in Salesforce?, → The Profile menu is located in the top-right corner of the Salesforce Lightning interface.
What happens when you click on the Profile icon?," →  When you click the Profile icon, a dropdown menu opens showing user details and options like Settings, Log Out, Display Density, Switch to Salesforce Classic, and Add Username."
What is the use of the Settings option in the Profile menu?," → The Settings option allows users to modify personal information, language preferences, password, email settings, and other personal configurations."
What is Display Density in the Profile menu?,"→ Click Profile icon at the top right corner  
→ Display Density controls how Salesforce displays fields, records, and spacing on the screen.

It does not change data or functionality.
It only changes the visual layout and spacing of the interface."
What are the types of Display Density available in profile?,"→ Click Profile icon at the top right corner  
→ Comfy
More spacing between fields
Larger padding
Easier to read
Better for beginners or users who prefer clarity

 → Compact
Less spacing
More records visible on one screen
Reduces scrolling
Suitable for advanced users who want efficiency"
"What is the use of ""Switch to Salesforce Classic"" in profile?","→ Click Profile icon at the top right corner  
→ This option allows users to switch from Lightning Experience to Salesforce Classic.

Reasons to use it:
 →Some features may not be available in Lightning
 →Legacy workflows exist in Classic
 →User familiarity with old interface"
"What is the use of ""Add Username"" in profile?","→ Click Profile icon at the top right corner  
→ The Add Username option allows a user to:
Add another Salesforce account
Switch between multiple orgs easily
Avoid repeated login and logout

 → It is useful for:
Developers
Admins
Consultants working in multiple Salesforce environments"
How to Log Out in Salesforce?,"→ Navigate to the top-right corner of the Salesforce interface.
→ Identify your Profile Icon (this may display your name initials or avatar image)
→ Click on the Profile Icon.A dropdown menu will appear displaying account-related options.
→ click LOGOUT From the dropdown options, .
"
Why do we use Compact Display Density in profile?,"→ Click Profile icon at the top right corner  
→ Compact mode is used when users want to:
      View more records at once
      Reduce scrolling
      Work faster with large datasets
      Increase productivity"
Why do we use Comfy Display Density in profile?,"→ Click Profile icon at the top right corner  
→ Comfy mode is used when users want:
      Better readability
      Clear separation between fields
      Less cluttered interface
      Comfortable viewing experience"
How edit profile?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select My Personal Information.
→ Click on Edit (next to the section you want to update).
→ Update the required details.
→ Click Save."
How do you change your password in Salesforce?,"→ Click Profile icon at the top right corner  
→ Click your Profile Icon (avatar or initials).
→ Select Settings from the dropdown menu.
→ In the left-hand panel, go to: My Personal Information → Change My Password
→ Enter Required Information
       Enter your Current Password
       Enter your New Password
       Confirm the new password
→ Click Save"
How do you change Language and Time Zone?,"→ click Profile icon at the top right corner  
→ Click on your Profile icon (avatar or name).
→ Select Settings from the dropdown menu.
→ In the left-side menu under My Personal Information, click Language & Time Zone.
→ Click the Edit button.
→ Update the following fields as required
→ Click Save"
How do you reset your security token?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select My Personal Information.
→ Reset My Security Token 
→ Click Reset Security Token 
→ Check your email for the new token."
How do you check Login History?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select My Personal Information.
→  click on Login History 
→ View login details (date, time, IP address, status)."
How do you give Account Login Access to an admin?," → Click the Profile Icon in the top-right corner.
 → Select Settings from the dropdown menu.
 → In the left-hand panel, go to: My Personal Information → Grant Account Login Access
 → Locate the Administrator’s name in the list.
 → Choose the appropriate access duration from the dropdown:
 → Click Save."
How do you manage External Credentials?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select My Personal Information. 
 → External Credentials 
 → Add or manage authentication details for external systems."
How do you manage Connections?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select My Personal Information.
→  click Connections 
→ Manage connected apps and third-party access."
How do you configure Authentication Settings for External Systems?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select My Personal Information.
→ Click Authentication Settings for External Systems 
→ Select Named Credential 
→ Choose User 
→ Select Authentication Protocol 
→ Click Save."
How do you update Approver Settings?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select My Personal Information.
→ click on Approver Settings 
→ Select default approver 
→ Click Save."
How do you view Advanced User Details?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select My Personal Information.
→ Click on Advanced User Details 
→ View user information like User ID, Role, Profile, etc."
How do you customize My Pages?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select Display & Layout 
→ Click on  Customize My Pages 
→ Make changes 
→ Click Save."
How do you change Record Page Settings?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select Display & Layout 
→  from the options Choose Record Page Settings 
→ Select page view preference 
→ Click Save."
How do you change My Email Settings?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select Email 
→ click on My Email Settings 
→ Update email preferences 
→ Click Save."
How do you check My Unresolved Items?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select Email
→ click on My Unresolved Items 
→ View unresolved email records."
How do you manage Email Notifications in Chatter?,"→ Click Profile icon at the top right corner  
→ Click on Settings.
→ In the left panel, select Chatter
→ Click on  Email Notifications 
→ Select notification preferences 
→ Click Save."
